"game_id","home_team_name","away_team_name","home_team_spread","home_final","away_final","quarters","total_line","total","result","sgp_hit","sgp_ins"
401468307,"Memphis","Boston",-3.5,106,109,4,232,215,-3,0,1
401468308,"Minnesota","New York",2.5,107,120,4,235.5,227,-13,0,1
401468309,"San Antonio","Denver",-7.5,109,115,4,234.5,224,-6,0,1
401468310,"Dallas","Brooklyn",6,96,94,4,216,190,2,0,1
401468311,"Golden State","Sacramento",8,116,113,4,235.5,229,3,1,0
401468312,"Utah","Los Angeles",7,139,116,4,224.5,255,23,0,0
401468313,"LA","Cleveland",-4,119,117,4,212.5,236,2,0,1
401468314,"Charlotte","Portland",-2,95,105,4,221,200,-10,0,1
401468315,"Indiana","Denver",-5,119,122,4,235.5,241,-3,1,0
401468316,"Orlando","Dallas",-8.5,94,87,4,213,181,7,0,0
401468317,"Atlanta","Utah",4.5,119,125,4,231.5,244,-6,0,0
401468318,"Boston","Detroit",13.5,128,112,4,226.5,240,16,0,1
401468319,"Brooklyn","New York",3.5,112,85,4,220.5,197,27,0,0
401468320,"Toronto","Houston",10,116,109,4,224,225,7,1,0
401468321,"Chicago","New Orleans",-2,111,115,4,232.5,226,-4,1,0
401468322,"Minnesota","Phoenix",2,117,129,4,224,246,-12,0,0
401468323,"Oklahoma City","Milwaukee",-1,132,136,6,213,268,-4,0,1
401468324,"San Antonio","Memphis",-5.5,122,124,5,234,246,-2,0,1
401468325,"LA","Los Angeles",3,114,101,4,219,215,13,0,1
401468326,"Sacramento","Cleveland",-4,127,120,4,228,247,7,0,0
401468327,"Washington","Dallas",-6,113,105,4,209,218,8,0,1
401468328,"Atlanta","Philadelphia",1,104,95,4,222,199,9,0,1
401468329,"Miami","Charlotte",11,117,112,5,212.5,229,5,0,1
401468330,"New Orleans","Portland",9,95,106,4,222,201,-11,0,0
401468331,"Boston","Denver",4,131,112,4,230.5,243,19,0,0
401468332,"Orlando","Phoenix",-7.5,114,97,4,215,211,17,0,1
401468333,"New York","Detroit",9.5,121,112,4,224.5,233,9,1,0
401468334,"Oklahoma City","Toronto",-5,132,113,4,219.5,245,19,0,0
401468335,"San Antonio","Milwaukee",1.5,111,93,4,218.5,204,18,0,0
401468336,"Memphis","Minnesota",4,114,103,4,233.5,217,11,0,1
401468337,"Golden State","Cleveland",3,106,101,4,232,207,5,0,1
401468338,"Los Angeles","Sacramento",-3.5,114,120,4,233,234,-6,1,0
401468339,"LA","Brooklyn",1.5,95,110,4,212,205,-15,0,1
401468340,"Washington","Utah",-4.5,121,112,4,221.5,233,9,0,0
401468341,"Detroit","Boston",-8.5,108,117,4,225.5,225,-9,1,0
401468342,"Indiana","Toronto",2.5,118,104,4,229.5,222,14,0,1
401468343,"Philadelphia","Atlanta",3,121,109,4,222.5,230,12,1,0
401468344,"Miami","Charlotte",8,132,115,4,214.5,247,17,0,1
401468345,"Dallas","Portland",6.5,117,112,4,218.5,229,5,0,1
401468346,"New Orleans","Houston",10.5,119,106,4,233.5,225,13,1,0
401468347,"New York","Oklahoma City",5,135,145,4,227,280,-10,0,0
401468348,"Cleveland","Minnesota",1,124,129,4,221,253,-5,0,1
401468349,"Washington","Memphis",1.5,102,92,4,218,194,10,0,1
401468350,"Philadelphia","Utah",3.5,105,98,4,218.5,203,7,0,1
401468351,"Chicago","Denver",-1.5,103,126,4,231.5,229,-23,0,1
401468352,"Sacramento","Golden State",-4,122,115,4,237,237,7,0,1
401468353,"Los Angeles","Brooklyn",-5,116,103,4,217.5,219,13,0,1
401468354,"Detroit","Toronto",-4.5,111,115,4,218.5,226,-4,1,0
401468355,"Orlando","Charlotte",-1.5,105,112,4,225,217,-7,1,0
401468356,"Boston","Oklahoma City",12,126,122,4,228.5,248,4,0,1
401468357,"Miami","Phoenix",2.5,113,112,4,216.5,225,1,1,0
401468358,"Houston","LA",-5,106,122,4,220.5,228,-16,0,1
401468359,"Milwaukee","Atlanta",4,106,121,4,226,227,-15,0,1
401468360,"Golden State","San Antonio",8.5,132,95,4,233.5,227,37,0,1
401468361,"New Orleans","Memphis",1.5,113,102,4,223.5,215,11,0,1
401468362,"Dallas","LA",6.5,103,101,4,212,204,2,1,0
401468363,"Utah","New York",4,111,118,4,231.5,229,-7,0,1
401468364,"Portland","San Antonio",8.5,117,110,4,226,227,7,1,0
401468365,"Sacramento","Brooklyn",1.5,153,121,4,225,274,32,0,0
401468366,"Charlotte","Indiana",-1,113,125,4,236.5,238,-12,0,1
401468367,"Orlando","Minnesota",-8,108,126,4,224,234,-18,0,0
401468368,"Washington","Oklahoma City",5,120,121,4,230.5,241,-1,0,1
401468369,"Atlanta","Boston",-1,101,126,4,234.5,227,-25,0,1
401468370,"Toronto","Miami",3,112,104,4,216,216,8,1,0
401468371,"Milwaukee","Cleveland",2,113,98,4,218.5,211,15,0,1
401468372,"New Orleans","Chicago",1.5,124,110,4,226.5,234,14,0,1
401468373,"Dallas","Houston",6.5,92,101,4,218,193,-9,0,0
401468374,"Denver","New York",2,103,106,4,226.5,209,-3,0,1
401468375,"Phoenix","Golden State",-2.5,130,119,4,227,249,11,0,0
401468376,"Portland","Brooklyn",3,107,109,4,220.5,216,-2,1,0
401468377,"Sacramento","San Antonio",7,130,112,4,237,242,18,0,1
401468378,"LA","Detroit",11,96,91,4,219,187,5,0,1
401468379,"Washington","Miami",7.5,107,106,5,217,213,1,1,0
401468380,"Cleveland","Charlotte",10,132,122,6,220,254,10,0,1
401468381,"Philadelphia","Milwaukee",-1.5,110,102,4,211.5,212,8,0,1
401468382,"Chicago","Orlando",8.5,107,108,4,221,215,-1,0,1
401468383,"Houston","Indiana",-6,91,99,4,236.5,190,-8,0,1
401468384,"Memphis","Oklahoma City",6.5,121,110,4,230,231,11,1,0
401468385,"Dallas","Denver",10,127,99,4,216,226,28,0,0
401468386,"New Orleans","Boston",-3,109,117,4,227,226,-8,1,0
401468387,"Utah","Phoenix",-1,134,133,4,228,267,1,0,1
401468388,"Golden State","New York",7.5,111,101,4,234.5,212,10,0,1
401468389,"Los Angeles","Detroit",6.5,128,121,4,226,249,7,0,1
401468390,"Atlanta","Toronto",5.5,124,122,5,226,246,2,0,1
401468391,"Indiana","Orlando",7.5,114,113,4,226,227,1,1,0
401468392,"Philadelphia","Minnesota",-3.5,109,112,4,218,221,-3,1,0
401468393,"Portland","Utah",4,113,118,4,228,231,-5,1,0
401468394,"LA","San Antonio",8.5,119,97,4,221,216,22,0,1
401468395,"Phoenix","New York",6,116,95,4,226.5,211,21,0,0
401468396,"Washington","Charlotte",4.5,106,102,4,220.5,208,4,0,1
401468397,"Sacramento","Detroit",10.5,137,129,4,234.5,266,8,0,1
401468398,"Brooklyn","Memphis",7.5,127,115,4,224,242,12,0,1
401468399,"Cleveland","Miami",7.5,113,87,4,213,200,26,0,0
401468400,"Houston","Golden State",-10.5,120,127,4,232.5,247,-7,0,1
401468401,"Dallas","Denver",10.5,97,98,4,217,195,-1,0,0
401468402,"Los Angeles","San Antonio",6,123,92,4,228,215,31,0,0
401468403,"Cleveland","Atlanta",3.5,114,102,4,227.5,216,12,0,1
401468404,"Indiana","Orlando",7,123,102,4,225,225,21,0,1
401468405,"Chicago","Boston",-5.5,121,107,4,230,228,14,0,1
401468406,"Milwaukee","Portland",9.5,119,111,4,213.5,230,8,0,1
401468407,"Minnesota","Miami",8.5,105,101,4,220.5,206,4,0,1
401468408,"New Orleans","Golden State",11,128,83,4,227.5,211,45,0,0
401468409,"Oklahoma City","New York",1.5,119,129,4,227.5,248,-10,0,0
401468410,"LA","Utah",2.5,121,114,4,222.5,235,7,0,1
401468411,"Philadelphia","Brooklyn",-7.5,115,106,4,217,221,9,0,1
401468412,"Memphis","Sacramento",3,109,113,4,237,222,-4,0,1
401468413,"Denver","Detroit",12,108,110,4,227.5,218,-2,0,0
401468414,"Phoenix","Los Angeles",9.5,115,105,4,227,220,10,1,0
401468415,"Charlotte","Philadelphia",4,107,101,4,215.5,208,6,1,0
401468416,"Cleveland","Portland",7.5,114,96,4,213.5,210,18,0,1
401468417,"Indiana","Minnesota",-2,101,115,4,237.5,216,-14,0,0
401468418,"Atlanta","Sacramento",4.5,115,106,4,241,221,9,0,1
401468419,"Boston","Dallas",6,125,112,4,222.5,237,13,0,1
401468420,"Miami","Washington",5,113,105,4,209,218,8,1,0
401468421,"Toronto","Brooklyn",-2.5,98,112,4,223,210,-14,0,0
401468422,"Milwaukee","Chicago",7,113,118,4,223.5,231,-5,0,1
401468423,"Oklahoma City","Denver",1,126,131,5,230,257,-5,0,1
401468424,"San Antonio","New Orleans",-5.5,110,129,4,227,239,-19,0,0
401468425,"Utah","Detroit",12,116,125,4,234,241,-9,0,1
401468426,"Golden State","LA",10,124,107,4,223,231,17,1,0
401468427,"Charlotte","Minnesota",-6.5,110,108,4,226.5,218,2,1,0
401468428,"Orlando","Philadelphia",1.5,99,107,4,214.5,206,-8,0,1
401468429,"New York","Portland",4,129,132,5,216.5,261,-3,0,1
401468430,"Boston","Sacramento",7.5,122,104,4,238,226,18,0,0
401468431,"Indiana","Brooklyn",-3.5,128,117,4,233.5,245,11,0,0
401468432,"Miami","Washington",3,110,107,4,214.5,217,3,1,0
401468433,"Houston","Atlanta",-7,128,122,4,231.5,250,6,0,0
